"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"37",5.36398064245503,0.988641483215095,88.0396638871897,797,"P1-1_Root","Pine","1","Root","Pine_Root","1","P1_Root",0.319833051985166,0.181808514880438,0.498358433134396,268,130,399
"38",5.42923879346539,0.989618329256871,96.323609633053,759,"P1-2_Root","Pine","1","Root","Pine_Root","2","P1_Root",0.364418318886786,0.152186908438777,0.483394772674438,250,132,377
"39",4.89997418026906,0.981556038028567,54.218285721304,663,"P1-N_Soil","Pine","1","Soil","Pine_Soil","N","P1_Soil",0.405588358821059,0.037700422462139,0.556711218716802,237,67,359
"40",6.00349179189457,0.990772638926015,108.373346613616,1222,"P1-S_Soil","Pine","1","Soil","Pine_Soil","S","P1_Soil",0.440129295245374,0.114932645457151,0.444938059297475,381,170,671
"41",5.82576761561155,0.992834418196446,139.556009186017,1083,"P2-1_Root","Pine","2","Root","Pine_Root","1","P2_Root",0.368035712095756,0.118038778038042,0.513925509866202,352,174,557
"42",5.73949946175557,0.992375843743467,131.162054705152,917,"P2-2_Root","Pine","2","Root","Pine_Root","2","P2_Root",0.374295640032579,0.110653080899586,0.515051279067835,294,142,481
"43",6.44347124427648,0.995434973259748,219.05676722164,1501,"P2-N_Soil","Pine","2","Soil","Pine_Soil","N","P2_Soil",0.424248537421828,0.123818686860849,0.451932775717323,467,244,790
"44",6.22234502018879,0.994567211136993,184.067525025539,1372,"P2-S_Soil","Pine","2","Soil","Pine_Soil","S","P2_Soil",0.388556659930438,0.184462682668646,0.426980657400916,347,351,674
"45",5.62296757315509,0.990896431116424,109.847029531917,1004,"P3-1_Root","Pine","3","Root","Pine_Root","1","P3_Root",0.300812387962928,0.0727462272906416,0.626441384746431,309,154,541
"46",5.88380550160369,0.993678106649045,158.180460264946,952,"P3-N_Soil","Pine","3","Soil","Pine_Soil","N","P3_Soil",0.293481403377494,0.212020203738032,0.494498392884475,237,257,458
"47",6.21716025262959,0.994953538690359,198.158657847924,1403,"P3-S_Soil","Pine","3","Soil","Pine_Soil","S","P3_Soil",0.360957044695858,0.1598191902529,0.479223765051242,350,334,719
"48",5.72743141433666,0.992640592628454,135.88050633891,928,"P4-1_Root","Pine","4","Root","Pine_Root","1","P4_Root",0.310736152641321,0.174142104513741,0.515121742844938,282,170,476
"49",5.74072271452266,0.993030156325139,143.475240858967,861,"P4-2_Root","Pine","4","Root","Pine_Root","2","P4_Root",0.314919582272207,0.174919240432769,0.510161177295025,260,151,450
"50",5.77028594852686,0.991533886627544,118.117955194579,951,"P4-N_Soil","Pine","4","Soil","Pine_Soil","N","P4_Soil",0.377640362322952,0.115769368960496,0.506590268716552,273,187,491
"51",6.26869529454307,0.994908947871556,196.42305259712,1395,"P4-S_Soil","Pine","4","Soil","Pine_Soil","S","P4_Soil",0.315720297916971,0.251676114865313,0.432603587217716,272,407,716
"52",5.83993438478523,0.991011365982568,111.251609316901,1154,"P5-1_Root","Pine","5","Root","Pine_Root","1","P5_Root",0.472709319755407,0.10421375716767,0.423076923076923,397,169,588
"53",6.09387528224495,0.992204001297046,128.270929498888,1571,"P5-2_Root","Pine","5","Root","Pine_Root","2","P5_Root",0.499963587106923,0.103026639672575,0.397009773220502,566,211,794
"54",5.73548120420778,0.991562578274217,118.519618018399,881,"P5-N_Soil","Pine","5","Soil","Pine_Soil","N","P5_Soil",0.378074267587236,0.152920320955402,0.469005411457361,272,149,460
"55",5.64835555502608,0.990307491865954,103.172469516674,869,"P5-S_Soil","Pine","5","Soil","Pine_Soil","S","P5_Soil",0.327397141369134,0.109108269197384,0.563494589433482,249,141,479
"56",5.54420533986692,0.98602825217841,71.5730066681228,1043,"P6-1_Root","Pine","6","Root","Pine_Root","1","P6_Root",0.268803289593034,0.218782124931971,0.512414585474996,306,241,496
"57",5.52193022486373,0.987988092934269,83.2507273431171,892,"P6-2_Root","Pine","6","Root","Pine_Root","2","P6_Root",0.279360327473232,0.227092911365337,0.49354676116143,258,205,429
"58",6.32875465827051,0.995171120786461,207.087391458486,1442,"P6-N_Soil","Pine","6","Soil","Pine_Soil","N","P6_Soil",0.313806922639438,0.276389752271615,0.409803325088947,324,453,665
"59",5.86932255714509,0.991661147963592,119.920583269009,1090,"P6-S_Soil","Pine","6","Soil","Pine_Soil","S","P6_Soil",0.458836718738476,0.134073844610642,0.407089436650883,332,198,560
"60",5.6230650871567,0.986862643191251,76.1188125250642,1119,"P7-1_Root","Pine","7","Root","Pine_Root","1","P7_Root",0.295335417720355,0.170479102487471,0.534185479792174,338,170,611
"61",5.60858904390824,0.987876025291107,82.4812014220483,1101,"P7-2_Root","Pine","7","Root","Pine_Root","2","P7_Root",0.293628926285448,0.148573608579543,0.557797465135009,321,170,610
"62",5.92997147103129,0.993357139482308,150.537557929546,1068,"P7-N_Soil","Pine","7","Soil","Pine_Soil","N","P7_Soil",0.370711622542314,0.147447761594378,0.481840615863308,280,226,562
"63",6.3253232006587,0.994632555342905,186.308395127678,1524,"P7-S_Soil","Pine","7","Soil","Pine_Soil","S","P7_Soil",0.395068399272516,0.118426948522628,0.486504652204855,395,265,864
"64",5.9618979351328,0.992422149718229,131.963546760163,1204,"P8-1_Root","Pine","8","Root","Pine_Root","1","P8_Root",0.430946813643618,0.116690791671306,0.452362394685076,375,192,637
"65",5.9257355163884,0.992071196447491,126.122433653133,1190,"P8-2_Root","Pine","8","Root","Pine_Root","2","P8_Root",0.427955610853473,0.122296371702547,0.449748017443979,381,200,609
"66",5.93928450990652,0.991376529158622,115.962588428051,1137,"P8-N_Soil","Pine","8","Soil","Pine_Soil","N","P8_Soil",0.400596421471173,0.100646123260437,0.49875745526839,322,198,617
"67",6.01535702247851,0.992273465113404,129.424122802425,1377,"P8-S_Soil","Pine","8","Soil","Pine_Soil","S","P8_Soil",0.395566882555122,0.162664546751152,0.441768570693727,399,286,692
"68",5.69186194408888,0.990724142082225,107.806739696148,1025,"P9-1_Root","Pine","9","Root","Pine_Root","1","P9_Root",0.499187235851652,0.0937679745917423,0.407044789556606,357,157,511
"69",5.82491040240201,0.991269344855729,114.538941634437,1161,"P9-2_Root","Pine","9","Root","Pine_Root","2","P9_Root",0.505748123188226,0.0993657243378509,0.394886152473923,394,171,596
"70",6.27188640769359,0.993686951028738,158.40206603055,1422,"P9-N_Soil","Pine","9","Soil","Pine_Soil","N","P9_Soil",0.444310914631529,0.150950684578737,0.404738400789733,427,299,696
"71",6.56821275087108,0.996145329371431,259.425537577311,1776,"P9-S_Soil","Pine","9","Soil","Pine_Soil","S","P9_Soil",0.381060239737358,0.188545033466521,0.430394726796121,428,426,922
