"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","AMF_abund","ECM_abund","Endo_abund","Other_abund.x","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_abund.y","Path_richness","Sap_richness"
"35",4.16444812714307,0.965172242107195,28.7127297449883,655,"E9-N_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","N","E9_Soil",0,0.0597101975219037,0.0105630151900047,0.117411478044481,0.0175488620457255,0.794766447197885,0,25,22,174,67,367
"36",4.13858229252824,0.965235333424469,28.7648379376046,565,"E9-S_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","S","E9_Soil",0.000184593653188655,0.123573412093292,0.0107626125619994,0.0746159649432575,0.0265172795711007,0.764346137177162,4,20,13,143,52,333
"37",2.81055643894418,0.88030624484355,8.35465474947222,198,"P1-1_Root","Pine","1","Root","Pine_Root","1","P1_Root",0,0.352713512477846,0.0208171672175121,0.0341619964554294,0.0341236767734828,0.558183647075729,0,16,3,37,22,120
"38",2.73298273758339,0.840828328954044,6.28252498342675,194,"P1-2_Root","Pine","1","Root","Pine_Root","2","P1_Root",0,0.44037254997325,0.0134964252711444,0.0393220174116045,0.0331939108020038,0.473615096541997,0,17,4,41,18,114
"39",3.25435259829286,0.936987105340777,15.869767694502,219,"P1-N_Soil","Pine","1","Soil","Pine_Soil","N","P1_Soil",0,0.269948486122792,0.00945297168488926,0.060607653490328,0.00421397532940847,0.655776913372582,0,11,3,39,18,148
"40",2.79023348264054,0.74502538341061,3.92195903018218,381,"P1-S_Soil","Pine","1","Soil","Pine_Soil","S","P1_Soil",0,0.515742766836859,0.0224410406029662,0.0853026987600292,0.0655604181862388,0.310953075613907,0,12,4,136,50,179
"41",3.21145949880141,0.931231999085386,14.5416470843997,203,"P2-1_Root","Pine","2","Root","Pine_Root","1","P2_Root",6.14628149969269e-05,0.213226797787339,0.0416840811309158,0.0681868469575907,0.0321327596803934,0.644708051628765,2,17,6,34,28,116
"42",3.25380925510245,0.933384902974914,15.0116121518732,214,"P2-2_Root","Pine","2","Root","Pine_Root","2","P2_Root",0,0.183510474271735,0.0431614004070473,0.0662479699031721,0.0372098760356064,0.669870279382439,0,15,8,46,26,119
"43",3.38879937167005,0.848304504834523,6.59215356994715,528,"P2-N_Soil","Pine","2","Soil","Pine_Soil","N","P2_Soil",5.14592999819892e-05,0.0752763793236533,0.024005763441598,0.0700961431254663,0.0474969338833761,0.783073320925924,2,30,13,165,66,252
"44",3.25845724397697,0.87829809670405,8.21679836483936,402,"P2-S_Soil","Pine","2","Soil","Pine_Soil","S","P2_Soil",2.81676916576687e-05,0.223811088681283,0.0411999436646167,0.0438570959109901,0.0138772827566781,0.677226421294775,1,29,13,77,33,249
"45",2.72907699523416,0.86505023473237,7.41016479737343,180,"P3-1_Root","Pine","3","Root","Pine_Root","1","P3_Root",0,0.513119103773585,0.0303041470125786,0.013782429245283,0.00313237028301887,0.439661949685535,0,18,4,36,15,107
"46",3.10165021566345,0.895864324846837,9.60285702790322,223,"P3-2_Root","Pine","3","Root","Pine_Root","2","P3_Root",1.89487247508243e-05,0.221103194754993,0.0491340432788873,0.014988441277902,0.00574146359949975,0.709013908363967,1,18,8,38,23,135
"47",3.43878461742184,0.936015774154927,15.6288520614647,267,"P3-N_Soil","Pine","3","Soil","Pine_Soil","N","P3_Soil",0,0.139665520017566,0.0125978921173973,0.0298250750201274,0.00587352704384103,0.812037985801069,0,21,2,53,24,167
"48",3.51899064977257,0.940990967351368,16.9465580965287,355,"P3-S_Soil","Pine","3","Soil","Pine_Soil","S","P3_Soil",0,0.309544158262638,0.0291209730381352,0.0673731748787751,0.0130086274368686,0.580953066383584,0,32,6,76,38,203
"49",3.3202987578234,0.939868705467099,16.6302755955611,213,"P4-1_Root","Pine","4","Root","Pine_Root","1","P4_Root",0,0.207146355399559,0.0108766631295404,0.0888804995510571,0.100399967349604,0.592696514570239,0,17,7,48,18,123
"50",3.34827540798139,0.941083884444131,16.9732846533597,216,"P4-2_Root","Pine","4","Root","Pine_Root","2","P4_Root",0,0.203371414875769,0.0116162019653272,0.0821602620436207,0.0951026603818806,0.607749460733403,0,15,7,49,19,126
"51",3.89930028542569,0.956612538220255,23.0481332389637,430,"P4-N_Soil","Pine","4","Soil","Pine_Soil","N","P4_Soil",0,0.0709783709436073,0.0199437735221656,0.104374178141201,0.0210773718656006,0.783626305527426,0,17,6,97,39,271
"52",3.80749964491001,0.947050979277898,18.8860905520501,426,"P4-S_Soil","Pine","4","Soil","Pine_Soil","S","P4_Soil",6.33788151783208e-05,0.208271840792416,0.00279772198430016,0.0556737620759278,0.0131013065090043,0.720091989823173,1,33,4,86,35,267
"53",3.32569431711303,0.926409705934696,13.5887485258938,295,"P5-1_Root","Pine","5","Root","Pine_Root","1","P5_Root",0,0.176105910539185,0.0433472472645541,0.112344703238076,0.0923753303529528,0.575826808605231,0,16,6,80,36,157
"54",3.25844298002277,0.905873020957334,10.6239466109575,339,"P5-2_Root","Pine","5","Root","Pine_Root","2","P5_Root",0,0.241240161412761,0.0269087858084622,0.0971572975348596,0.108813776019817,0.5258799792241,0,13,8,99,39,180
"55",4.034602067855,0.963359465797674,27.2921785058613,387,"P5-N_Soil","Pine","5","Soil","Pine_Soil","N","P5_Soil",0,0.160608433061179,0.0162286097751929,0.09417291130746,0.0302315177273236,0.698758528128845,0,18,8,109,34,218
"56",3.67178738849635,0.948537469010434,19.4316132683552,316,"P5-S_Soil","Pine","5","Soil","Pine_Soil","S","P5_Soil",0,0.246734800221882,0.00384932174614648,0.0892151754046831,0.0283908490359886,0.631809853591299,0,18,2,87,27,182
"57",2.91556746996052,0.886266803310085,8.79250763281035,201,"P6-1_Root","Pine","6","Root","Pine_Root","1","P6_Root",0,0.380690855208602,0.00526093990021887,0.0435692826361795,0.0873424776715923,0.483136444583407,0,13,4,49,26,109
"58",3.04050677723496,0.898444283023676,9.84681148214561,246,"P6-2_Root","Pine","6","Root","Pine_Root","2","P6_Root",0,0.32827250029723,0.00517179883485911,0.050386398763524,0.0941505171798835,0.522018784924504,0,20,6,65,24,131
"59",3.6411391672289,0.920464107612128,12.5729399643033,684,"P6-N_Soil","Pine","6","Soil","Pine_Soil","N","P6_Soil",0,0.0170602758071076,0.00278518348115072,0.0700814604549133,0.0609371854858256,0.849135894771003,0,25,15,190,78,376
"60",4.14294787700898,0.961942456504932,26.2759996616595,513,"P6-S_Soil","Pine","6","Soil","Pine_Soil","S","P6_Soil",0.000203334688897926,0.0637413582757218,0.0125416836112241,0.181455876372509,0.0677023180154534,0.674355429036194,2,26,6,141,51,287
"61",2.88050110126678,0.900602942842894,10.0606600295963,176,"P7-1_Root","Pine","7","Root","Pine_Root","1","P7_Root",0,0.220163257646838,0.00250985175455057,0.0315959842371927,0.00369049853005567,0.742040407831363,0,15,5,36,13,107
"62",2.70361299790265,0.878267907481557,8.21476062155502,178,"P7-2_Root","Pine","7","Root","Pine_Root","2","P7_Root",0,0.301626990923103,0.00202945709881829,0.0301849631786265,0.00300565165268025,0.663152937146772,0,15,4,44,15,100
"63",3.82551731023155,0.955867372074144,22.6589724427929,390,"P7-N_Soil","Pine","7","Soil","Pine_Soil","N","P7_Soil",0,0.230352443366531,0.00399057398902592,0.0862187591378984,0.00857457385141992,0.670863649655125,0,29,5,94,34,228
"64",3.40178496702531,0.888515948858953,8.96989291082386,391,"P7-S_Soil","Pine","7","Soil","Pine_Soil","S","P7_Soil",0,0.147820547148384,0.0177366190550934,0.099504187171651,0.013683326100806,0.721255320524066,0,17,8,107,45,214
"65",3.1141362915463,0.893786169756145,9.41496976150953,256,"P8-1_Root","Pine","8","Root","Pine_Root","1","P8_Root",0,0.0291650809449925,0.0695351151965807,0.102835270353348,0.136977077783307,0.661487455721772,0,14,7,62,25,148
"66",3.18416016458065,0.900974464374864,10.0984053626888,278,"P8-2_Root","Pine","8","Root","Pine_Root","2","P8_Root",0,0.0422541857045117,0.0650288221832509,0.0991593202211405,0.12422243018583,0.669335241705267,0,13,8,74,27,156
"67",3.82789538509074,0.933366191133011,15.0073966504923,424,"P8-N_Soil","Pine","8","Soil","Pine_Soil","N","P8_Soil",0,0.0433513280953893,0.0124563362391289,0.179305682179039,0.0317964372419869,0.733090216244456,0,12,12,123,46,231
"68",4.26135470589135,0.970267965039231,33.6337556887541,517,"P8-S_Soil","Pine","8","Soil","Pine_Soil","S","P8_Soil",0.000125475144849983,0.13053105509835,0.0189615086540945,0.183533232461158,0.0563678636011367,0.61048086504041,1,15,10,155,62,274
"69",3.13195221947954,0.922948640668489,12.9783563674398,226,"P9-1_Root","Pine","9","Root","Pine_Root","1","P9_Root",6.18867197975617e-05,0.22539143350272,0.0281034470902927,0.099795773824668,0.0901345692340487,0.556512889628473,3,13,6,59,22,123
"70",3.05379815216858,0.914225035162504,11.6584134064588,209,"P9-2_Root","Pine","9","Root","Pine_Root","2","P9_Root",2.36376816161871e-05,0.221886917331148,0.028893126162186,0.0987897507012512,0.107512055217624,0.542894512906174,1,9,5,51,20,123
"71",4.03003704876497,0.963112076426357,27.1091431319953,478,"P9-N_Soil","Pine","9","Soil","Pine_Soil","N","P9_Soil",7.84532505796824e-05,0.27411565752541,0.0139036594082882,0.105179657943827,0.0175037919071114,0.589218779964783,2,17,11,139,43,266
"72",4.34979378459685,0.969431336805276,32.7132394907147,627,"P9-S_Soil","Pine","9","Soil","Pine_Soil","S","P9_Soil",0.000458478022771075,0.159023951231523,0.0148495937375298,0.0896154727842352,0.0246814002258429,0.711371103998098,8,31,14,188,61,325
