#OTU ID,E1-1_Root,E1-2_Root,E1-N_Soil,E1-S_Soil,E2-1_Root,E2-2_Root,E2-N_Soil,E2-S_Soil,E3-1_Root,E3-2_Root,E3-N_Soil,E3-S_Soil,E4-1_Root,E4-2_Root,E4-N_Soil,E4-S_Soil,E5-1_Root,E5-2_Root,E5-N_Soil,E5-S_Soil,E6-1_Root,E6-2_Root,E6-N_Soil,E6-S_Soil,E7-1_Root,E7-2_Root,E7-N_Soil,E7-S_Soil,E8-1_Root,E8-2_Root,E8-N_Soil,E8-S_Soil,E9-1_Root,E9-2_Root,E9-N_Soil,E9-S_Soil,Neg_Control,P1-1_Root,P1-2_Root,P1-N_Soil,P1-S_Soil,P2-1_Root,P2-2_Root,P2-N_Soil,P2-S_Soil,P3-1_Root,P3-2_Root,P3-N_Soil,P3-S_Soil,P4-1_Root,P4-2_Root,P4-N_Soil,P4-S_Soil,P5-1_Root,P5-2_Root,P5-N_Soil,P5-S_Soil,P6-1_Root,P6-2_Root,P6-N_Soil,P6-S_Soil,P7-1_Root,P7-2_Root,P7-N_Soil,P7-S_Soil,P8-1_Root,P8-2_Root,P8-N_Soil,P8-S_Soil,P9-1_Root,P9-2_Root,P9-N_Soil,P9-S_Soil
b62fb46757562c456ddc3f0c9de2ccfc,5,3,85,28,0,0,66,297,69,137,421,1362,4,0,8,315,18,37,155,276,0,0,12,14,8602,9267,126,0,4,10,462,28,0,3,1632,1184,0,0,0,0,87,0,0,18,3,0,6,74,34,0,0,0,49,28,35,170,112,0,0,0,474,0,0,12,97,31,24,370,16,6,3,53,83
74dff2c5b1050e17ac1cf1f093960b2e,0,0,0,8,0,0,8,0,24,50,1861,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,42993,0,0,0,0,0,0,0,0,0,0,0,0,0
4fa1090b5a65f249ca544a5b5c5c0e86,157,149,393,402,13,15,892,2252,623,959,1678,3292,78,41,330,514,833,1006,1431,2295,197,180,384,389,77,131,511,559,310,617,5256,1032,37,16,2310,1073,0,11,4,85,138,47,103,2251,299,45,96,46,993,5,6,289,335,75,621,493,88,26,53,210,489,15,10,1262,611,31,62,128,210,31,26,453,675
7f24a5a5fcf5a461429bf42b935a3a87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,207,115,11420,13,0,0,0,2,0,0,0,0,0,0,0,5,79,230,41,947,0,0,12,26,0,0,0,0,0,0,0,9799,0,0,0,6
a8e7e9dced8b34ddec80063a783b86a5,26,14,1095,263,0,0,402,44,44,18,469,443,0,0,251,863,3,0,566,1195,0,0,76,244,3,6,1183,64,18,14,4145,2354,175,144,5130,1775,0,14,16,1686,25,0,0,34,1122,9,7,0,2655,7,11,1938,582,52,109,430,2568,0,4,360,2129,17,23,856,93,236,164,1639,3971,167,89,1607,1201
6dcf5f0446ae4ae3a5baf640c2a14ea5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11187,10116,338,5,0,0,0,0,0,0,0,0
0f2eb9cb1ac802447d2299773abd7006,0,0,0,21591,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c98b18d5c17981be2100fb084ebd31ec,0,0,0,0,0,0,0,0,0,0,0,4,199,73,20087,0,0,0,5,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
de944fa822f18228f9c67a65a4c6094a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13190,7436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671cb2d7b3e96e871ee24a61f11a2e9b,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,133,441,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13624,13916,7375,1277,33,35,169,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9d1f7bab96c0ca75e710a87ce13683a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4679,5147,8180,1653
908b036c95c37fd538a6a7fe8a5ad702,37,16,8,45,109,119,299,29,0,0,0,6,417,615,26,9398,12,0,0,194,42,134,3,187,253,453,117,51,0,0,69,0,244,273,81,126,0,49,38,752,162,353,337,371,160,34,19,5,121,43,29,37,48,13,20,28,0,445,736,795,79,474,470,52,453,32,21,36,124,1034,632,128,39
