"otu","lfc_(Intercept)","lfc_TreeSpeciesPine","se_(Intercept)","se_TreeSpeciesPine","W_(Intercept)","W_TreeSpeciesPine","p_(Intercept)","p_TreeSpeciesPine","q_(Intercept)","q_TreeSpeciesPine","diff_(Intercept)","diff_TreeSpeciesPine","HostID"
"Endobacter",0.820943222273304,-1.65737859514355,0.573210895083607,0.810655614876281,1.43218356335248,-2.04449160004461,0.15209129443577,0.04090500639628,0.962446847127627,0.355646305612101,FALSE,FALSE,"Eucalyptus"
"BIrii41",0.871623775419795,-1.75873970143653,0.443983903988399,0.627901499167507,1.96318778133581,-2.80098025529216,0.0496243585938359,0.00509476361394736,0.962446847127627,0.107540289570833,FALSE,FALSE,"Eucalyptus"
"Novosphingobium",1.05661406926148,-2.1287202891199,0.480492229234559,0.679531920284238,2.19902426090158,-3.13262736536275,0.0278761972668708,0.00173249241834914,0.962446847127627,0.0677837658679103,FALSE,FALSE,"Eucalyptus"
"JG30-KF-CM45",0.747973752025046,-1.51143965464703,0.382059323522102,0.540327220992783,1.95774243939312,-2.79726727790978,0.0502602426649956,0.00515368799860222,0.962446847127627,0.107540289570833,FALSE,FALSE,"Eucalyptus"
"Duganella",0.777981866373916,-1.57145588334478,0.540879451308393,0.76493214295344,1.43836461986487,-2.05437292421431,0.150330625719502,0.0399396115592523,0.962446847127627,0.355646305612101,FALSE,FALSE,"Eucalyptus"
"Steroidobacter",0.962149132008875,-1.93979041461469,0.436188875365915,0.616877698188311,2.20580850715584,-3.14452997784099,0.0273974104001903,0.00166353866461846,0.962446847127627,0.0677837658679103,FALSE,FALSE,"Eucalyptus"
"A4b",1.02741972961995,-2.07033160983684,0.372390593699566,0.526653626870921,2.75898410701759,-3.93110671645344,0.00579813547328074,8.45557266789526e-05,0.87886080822991,0.0132329712252561,FALSE,TRUE,"Eucalyptus"
"Nevskia",-0.68196359360498,1.34843503661302,0.369148680219717,0.522068887720487,-1.84739545377509,2.5828680243726,0.0646898476102167,0.00979827965988466,0.962446847127627,0.162430956261036,FALSE,FALSE,"Pine"
"SM1A02",0.965854015565415,-1.94720018172777,0.303683858890676,0.429488094797491,3.18045884655699,-4.53376986536938,0.0014704202278244,5.79401562901812e-06,0.460241531309038,0.00181352689188267,FALSE,TRUE,"Eucalyptus"
"PLTA13",0.643174148721014,-1.30184044803897,0.35845521611186,0.506946109871553,1.79429429343359,-2.56800559800888,0.0727662084646871,0.010228550423108,0.962446847127627,0.162430956261036,FALSE,FALSE,"Eucalyptus"
"Candidatus_Paracaedibacter",0.427291452191164,-0.870075054979271,0.255607892612427,0.361498835834088,1.67166767748857,-2.40685437609154,0.09458987123217,0.016090584528545,0.962446847127627,0.193705882978253,FALSE,FALSE,"Eucalyptus"
"CL500-29_marine_group",0.474340412219052,-0.964172975035048,0.273975244211429,0.387474019973277,1.73132581224382,-2.48835515501541,0.0833936701734931,0.012833550191126,0.962446847127627,0.171937573459198,FALSE,FALSE,"Eucalyptus"
"vadinHA49",0.447981635574879,-0.911455421746702,0.274805385836544,0.388648010018102,1.63017778640387,-2.34519513352004,0.103063927328016,0.0190171238378995,0.962446847127627,0.205253784871123,FALSE,FALSE,"Eucalyptus"
"Ohtaekwangia",0.535126964347871,-1.08574607929268,0.293623490637033,0.415260666660362,1.8224937084798,-2.61461334160191,0.0683801075029895,0.00893285169031444,0.962446847127627,0.162430956261036,FALSE,FALSE,"Eucalyptus"
"env.OPS_17",0.603361952235176,-1.22221605506729,0.280155641267483,0.396214366168692,2.15366697420562,-3.08473432421409,0.0312662978724679,0.00203734052393902,0.962446847127627,0.0708541759992126,FALSE,FALSE,"Eucalyptus"
"Tepidisphaera",0.54979171689423,-1.1150755843854,0.368507766561276,0.521162502692368,1.49194065032768,-2.1395928882543,0.135714704777754,0.0323876818591141,0.962446847127627,0.298157188879492,FALSE,FALSE,"Eucalyptus"
