Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
1225f9a1bedeb6a70fb6178b6938b6c6,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00080
126e6ba65708254fd2bbb645df5d8442,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
12ff8bd72ad574cb3b7099763615f819,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
130f861cf8cb28471f69bc033a903227,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
133954b9edb460240603b34f89184d29,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
134d4da70f52af1071097ba7aa2508b6,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1368ded9b2424b67c6269bc3e9990ebf,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00092
139970545cfd1df815ba77b4ba9aee13,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
13b9a4246fd01e5560a7900915df9960,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
13beae0bd386059af121bd925ee0cf6f,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
143cb42ebee9d39e5ad776b63008ec67,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
14dc562649f93e1a1630b50c8d8e405c,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
14e15215321a58a7620dafa92ea86832,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00345
151c4866ca442809d805c6239d8c6888,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
15310ddb2a5d9f58951bc93dc0901d40,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
15ac5677120423454059fb93cabec56c,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1625cdb0b787c81e6dd93f653b471c22,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
1634999c2bdf9218335db8a2be24f2af,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
16a84ae542a40d9e8af6527de2cd5c00,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
16c39ce386727cd5a528e0f4f309ed4b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
16d624ffcea8398f221e8a7cbbaa2df9,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
16f4cf929900fd16926367a9f71f02be,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
16fb8720b21ec82e234b399faa7a23c5,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
17342a3d9f95a0adfce1bf1cc6abfdc1,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00166
175388dd03f4915c7bab5ec594964d9d,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
17922b39d801924d1f0ede8c076c3fbc,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
17ce1c084163f6e96289b811fedcb77e,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,VTX00057
183f22ce8fab637d5ab2dca351f61df2,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
184a7348966bae7a6afccd05b536ac2e,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
184c968aca503b52f27e1da281a478bd,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00191
